City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tuy hoa,13.0833,109.3,26.28,85,55,2.63,VN,1701827803
1,hadibu,12.65,54.0333,24.68,62,51,6.81,YE,1701827252
2,hawaiian paradise park,19.5933,-154.9731,27.16,85,0,4.63,US,1701827803
3,shikhany,52.1167,47.2167,-12.27,99,68,1.61,RU,1701827804
4,albany,42.6001,-73.9662,0.5,88,100,1.31,US,1701827696
5,jamestown,42.097,-79.2353,0.77,100,100,3.09,US,1701827174
6,tangalle,6.024,80.7911,25.09,86,52,3.13,LK,1701827804
7,nikolayevsk-on-amure,53.1406,140.73,-4.99,72,100,1.28,RU,1701827804
8,blackmans bay,-43.0167,147.3167,20.96,40,6,1.34,AU,1701827805
9,ilulissat,69.2167,-51.1,-10.99,52,6,3.09,GL,1701826996
10,brookings,44.3114,-96.7984,-0.46,75,0,1.54,US,1701827285
11,boende,-0.2167,20.8667,20.91,98,84,1.05,CD,1701827805
12,west island,-12.1568,96.8225,28.99,74,98,4.63,CC,1701827805
13,klyuchi,52.2667,79.1667,2.93,80,100,8.99,RU,1701827258
14,adamstown,-25.066,-130.1015,22.77,82,100,6.01,PN,1701827806
15,thomson,33.4707,-82.5046,10.79,75,0,0.0,US,1701827806
16,port elizabeth,-33.918,25.5701,17.28,76,100,2.57,ZA,1701827218
17,tura,25.5198,90.2201,20.03,64,75,1.06,IN,1701827207
18,bredasdorp,-34.5322,20.0403,17.28,76,88,6.8,ZA,1701827806
19,port mathurin,-19.6833,63.4167,25.89,79,50,5.83,MU,1701827807
20,astrakhan,46.3497,48.0408,-1.07,80,75,2.0,RU,1701827807
21,sitka,57.0531,-135.33,7.94,66,100,10.8,US,1701827211
22,waitangi,-43.9535,-176.5597,14.34,77,100,4.02,NZ,1701827808
23,isafjordur,66.0755,-23.124,-2.67,84,33,3.03,IS,1701827209
24,port-aux-francais,-49.35,70.2167,6.42,97,100,12.1,TF,1701827808
25,puerto ayora,-0.7393,-90.3518,24.75,93,51,3.41,EC,1701827213
